OSEBuildingID,CouncilDistrictCode,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),NumberofFloors,YearBuilt,Longitude,BuildingType,PrimaryPropertyType,Neighborhood,DefaultData,Latitude,ComplianceStatus,NumberofBuildings,TotalGHGEmissions,ListOfAllPropertyUseTypes,LargestPropertyUseTypeGFA,LargestPropertyUseType,ENERGYSTARScore,Electricity,NaturalGas,SteamUse,OtherFuelUse,SiteEnergyUse(kBtu)
24375,2.0,51672.0,0.0,51672.0,3.0,1989.0,-122.28323929999999,SPS-District K-12,K-12 School,SOUTHEAST,No,47.565615089999994,Compliant,1.0,25.200000000000003,K-12 School,51672.0,K-12 School,96.0,0.7935120201215655,0.20650422331360105,0.0,0.0,1527540.1875
24376,2.0,38352.0,11082.0,27270.0,2.0,1990.0,-122.285724,Nonresidential COS,Medical Office,SOUTHEAST,No,47.56364458,Compliant,1.0,14.614999999999998,"Medical Office, Office",19987.0,Medical Office,38.0,1.0000205727170113,0.0,0.0,0.0,2096222.875
24377,2.0,21300.0,0.0,21300.0,2.0,1966.0,-122.28648035,Multifamily LR (1-4),Low-Rise Multifamily,SOUTHEAST,No,47.56362188999999,Compliant,1.0,3.79,Multifamily Housing,21300.0,Multifamily Housing,,1.000018587115653,0.0,0.0,0.0,543050.90625
24381,2.0,28425.0,0.0,28425.0,1.0,1995.0,-122.2824131,Nonresidential COS,Mixed Use Property,SOUTHEAST,No,47.561712905,Compliant,1.0,76.08500000000001,"Fitness Center/Health Club/Gym, Office, Other - Recreation",14081.0,Fitness Center/Health Club/Gym,,0.4887978766061745,0.5112122144244606,0.0,0.0,2489834.875
24391,6.0,70094.0,12082.5,58011.5,4.0,1987.0,-122.35581215,Multifamily LR (1-4),Low-Rise Multifamily,NORTHWEST,No,47.70384961,Compliant,1.0,9.83,"Multifamily Housing, Parking",45929.0,Multifamily Housing,93.5,1.0000209660602037,0.0,0.0,0.0,1410016.9375
24393,5.0,134490.0,20509.0,113981.0,4.0,1987.0,-122.2974225,Multifamily LR (1-4),Low-Rise Multifamily,NORTH,No,47.718124505,Compliant,1.0,18.325,"Multifamily Housing, Parking",93472.0,Multifamily Housing,83.5,1.0000202077115004,0.0,0.0,0.0,2628946.875
24397,5.0,36172.0,0.0,36172.0,3.0,1976.0,-122.29772234999999,Multifamily LR (1-4),Low-Rise Multifamily,NORTH,No,47.717193280000004,Compliant,1.0,4.91,"Multifamily Housing, Parking",27172.0,Multifamily Housing,75.0,1.00001942808508,0.0,0.0,0.0,704521.3125
24406,5.0,35115.0,0.0,35115.0,3.0,2009.0,-122.29792115000001,NonResidential,Other,NORTH,No,47.71388713,Compliant,1.0,27.235,Automobile Dealership,35115.0,Automobile Dealership,,0.8432627410909495,0.15675571039152938,0.0,0.0,1917190.125
24412,5.0,38100.0,0.0,38100.0,4.0,1985.0,-122.34554065,Multifamily LR (1-4),Low-Rise Multifamily,NORTHWEST,No,47.70087668,Compliant,1.0,7.484999999999999,"Multifamily Housing, Parking",32432.0,Multifamily Housing,70.5,1.0000212374818864,0.0,0.0,0.0,1074162.1875
24415,5.0,66704.0,0.0,66704.0,1.0,1972.0,-122.34637984999999,NonResidential,Mixed Use Property,NORTHWEST,No,47.697312755,Compliant,1.0,20.485,"Distribution Center, Non-Refrigerated Warehouse, Office, Other - Education, Parking",23904.0,Other - Education,,0.4111019032206145,0.5889057015362129,0.0,0.0,599953.4375
24418,5.0,25658.0,0.0,25658.0,1.0,1969.0,-122.34284,Nonresidential COS,Warehouse,NORTHWEST,No,47.70117,Compliant,1.0,18.87,"Non-Refrigerated Warehouse, Office",18854.0,Non-Refrigerated Warehouse,,0.7666010979499819,0.23339878456441213,0.0,0.0,1063960.125
24426,3.0,23490.0,0.0,23490.0,3.0,1908.0,-122.316086,Multifamily LR (1-4),Low-Rise Multifamily,EAST,No,47.618943110000004,Compliant,1.0,76.39,Multifamily Housing,23490.0,Multifamily Housing,55.0,0.16285293623232805,0.8371505705318844,0.0,0.0,1675333.625
24429,3.0,131050.0,43315.0,87735.0,5.0,2006.0,-122.32167525,Multifamily MR (5-9),Mid-Rise Multifamily,EAST,No,47.61962129,Compliant,1.0,30.43,"Multifamily Housing, Parking",66679.0,Multifamily Housing,53.0,0.9490225327520552,0.05099799808971242,0.0,0.0,3263383.0
